Category,Match_Score,Extracted_Skills
INFORMATION-TECHNOLOGY,3.160109489479855,"['sql', 'excel', 'communication']"
BANKING,3.1517482592087247,"['communication', 'leadership']"
DIGITAL-MEDIA,3.148569322364869,"['excel', 'leadership', 'data analysis']"
BANKING,3.148020111957638,['excel']
CONSULTANT,3.145979326684805,"['excel', 'communication']"
HR,3.1449205135953444,"['excel', 'communication', 'leadership']"
BUSINESS-DEVELOPMENT,3.144566591489331,['sql']
AVIATION,3.1432258942061115,"['communication', 'leadership']"
AGRICULTURE,3.1418300938578407,['excel']
ADVOCATE,3.1397837143198712,"['excel', 'communication', 'leadership']"
PUBLIC-RELATIONS,3.129071878226796,"['excel', 'communication', 'leadership']"
ENGINEERING,3.1277636634499104,"['python', 'java', 'excel', 'aws', 'leadership']"
APPAREL,3.127378452870132,['communication']
AVIATION,3.120422668179578,"['excel', 'communication']"
TEACHER,3.114712225769478,['excel']
BANKING,3.1133555632403507,"['excel', 'communication', 'leadership']"
APPAREL,3.110168568235807,"['excel', 'communication']"
ACCOUNTANT,3.1041915288388457,"['excel', 'leadership']"
CHEF,3.1035630197995236,"['excel', 'communication']"
HR,3.097271443774466,"['excel', 'communication', 'leadership']"
ADVOCATE,3.0972123331614942,"['excel', 'communication', 'leadership']"
PUBLIC-RELATIONS,3.095161426783114,"['excel', 'communication']"
PUBLIC-RELATIONS,3.0945741655615335,"['excel', 'communication', 'leadership']"
FITNESS,3.0935948846211994,"['excel', 'communication']"
HR,3.0893235327201167,['excel']
HR,3.0865452646478952,"['excel', 'communication', 'leadership']"
CONSULTANT,3.0855609316504395,"['excel', 'communication']"
FITNESS,3.0844858724720607,"['excel', 'communication']"
INFORMATION-TECHNOLOGY,3.082747879045927,"['excel', 'communication']"
HEALTHCARE,3.0734934350373257,"['excel', 'communication']"
